股票代码,股票名称,最新日期,最新价格,最新净资产价格,最新价格与净资产比值,最新季度每股收益,市盈率
600882,华联矿业,2015-05-18,13.42,3.3993,3.948,-0.01,-335.5
600883,博闻科技,2015-07-08,9.44,2.7024,3.493,0.1155,20.433
600884,杉杉股份,2015-07-07,22.56,11.0767,2.037,0.792,7.121
600885,宏发股份,2015-07-08,26.49,5.0954,5.199,0.22,30.102
600886,国投电力,2015-06-23,15.16,3.5878,4.225,0.1807,20.974
600887,伊利股份,2015-07-08,16.45,6.5068,2.528,0.43,9.564
600888,新疆众和,2015-07-08,6.41,5.0047,1.281,0.0267,60.019
600889,南京化纤,2015-07-08,7.87,3.0385,2.59,-0.006,-327.917
600890,中房股份,2015-07-07,8.17,0.5375,15.2,-0.0076,-268.75
600891,秋林集团,2015-07-07,7.34,2.6632,2.756,0.06,30.583
600892,宝诚股份,2015-07-08,35.6,0.1113,319.856,-0.0066,-1348.485
600893,中航动力,2015-07-08,28.34,7.3267,3.868,-0.02,-354.25
600894,广日股份,2015-07-08,13.52,5.1865,2.607,0.1257,26.889
600895,张江高科,2015-07-08,17.61,4.7866,3.679,0.14,31.446
600896,中海海盛,2015-07-07,11.89,3.6981,3.215,0.24,12.385
600897,厦门空港,2015-07-08,18.06,9.6627,1.869,0.3035,14.876
600898,三联商社,2015-07-08,9.38,1.3968,6.715,0.015,156.333
600900,长江电力,2015-06-12,14.73,5.3276,2.765,0.1143,32.218
600917,重庆燃气,2015-07-08,9.57,2.1804,4.389,0.05,47.85
600958,东方证券,2015-07-08,23.16,5.8222,3.978,0.45,12.867
600959,江苏有线,2015-07-08,18.35,3.7195,4.933,0.09,50.972
600960,渤海活塞,2015-07-08,7.61,3.8734,1.965,0.06,31.708
600961,株冶集团,2015-07-08,7.43,1.2483,5.952,-0.16,-11.609
600962,*ST中鲁,2015-07-08,14.73,2.9799,4.943,-0.011,-334.773
600963,岳阳林纸,2015-07-07,6.2,5.0627,1.225,-0.0937,-16.542
600965,福成五丰,2015-07-07,9.75,1.7998,5.417,0.0413,59.019
600966,博汇纸业,2015-07-07,4.59,5.8225,0.788,0.0141,81.383
600967,北方创业,2015-04-10,17.14,2.8112,6.097,-0.028,-153.036
600969,郴电国际,2015-07-08,12.2,9.5558,1.277,0.0704,43.324
600970,中材国际,2015-07-08,8.79,4.114,2.137,0.11,19.977
600971,恒源煤电,2015-07-08,5.56,6.7883,0.819,-0.16,-8.688
600973,宝胜股份,2015-07-08,8.1,5.0872,1.592,0.0409,49.511
600975,新五丰,2015-07-06,10.8,2.0867,5.176,-0.09,-30.0
600976,健民集团,2015-07-08,21.8,6.5009,3.353,0.17,32.059
600978,宜华木业,2015-06-17,22.44,4.3811,5.122,0.08,70.125
600979,广安爱众,2015-07-08,4.99,1.9665,2.538,0.0263,47.433
600980,北矿磁材,2015-07-08,14.85,1.7436,8.517,0.012,309.375
600981,汇鸿股份,2015-07-08,9.28,1.8713,4.959,0.0076,305.263
600982,宁波热电,2015-07-08,4.91,3.1904,1.539,0.0443,27.709
600983,XD惠而浦,2015-07-08,11.19,5.4988,2.035,0.15,18.65
600984,*ST建机,2015-07-08,8.3,2.3709,3.501,-0.0732,-28.347
600985,雷鸣科化,2015-07-08,13.42,6.1849,2.17,0.1,33.55
600986,科达股份,2015-07-01,24.81,2.2834,10.865,0.01,620.25
600987,航民股份,2015-07-08,8.05,3.9156,2.056,0.123,16.362
600988,赤峰黄金,2015-07-06,12.0,2.7,4.444,0.03,100.0
600990,四创电子,2015-07-08,55.74,6.7109,8.306,0.007,1990.714
600992,贵绳股份,2015-07-08,8.83,5.4615,1.617,0.0158,139.715
600993,马应龙,2015-07-08,20.17,4.959,4.067,0.22,22.92
600995,文山电力,2015-07-08,7.52,3.1191,2.411,0.2,9.4
600997,开滦股份,2015-07-08,5.62,5.628,0.999,-0.05,-28.1
600998,九州通,2015-07-07,20.49,4.831,4.241,0.0721,71.047
600999,招商证券,2015-07-08,22.04,7.6559,2.879,0.4585,12.017
601000,唐山港,2015-07-08,7.66,3.5402,2.164,0.12,15.958
601001,大同煤业,2015-07-08,5.78,4.2111,1.373,-0.18,-8.028
601002,晋亿实业,2015-07-08,8.66,2.9265,2.959,-0.014,-154.643
601003,柳钢股份,2015-06-15,7.2,2.0902,3.445,-0.1354,-13.294
601005,重庆钢铁,2015-07-08,3.38,2.0616,1.64,-0.187,-4.519
601006,大秦铁路,2015-07-08,10.07,5.8866,1.711,0.25,10.07
601007,金陵饭店,2015-07-07,13.89,4.5517,3.052,0.011,315.682
601008,连云港,2015-07-08,5.23,3.1656,1.652,0.015,87.167
601009,南京银行,2015-07-08,15.74,11.43,1.377,0.6,6.558
601010,文峰股份,2015-07-08,6.76,5.502,1.229,0.16,10.563
601011,宝泰隆,2015-07-07,10.79,7.6717,1.406,-0.04,-67.438
601012,隆基股份,2015-07-08,9.62,6.0134,1.6,0.14,17.179
601015,陕西黑猫,2015-07-08,10.27,4.6253,2.22,0.06,42.792
601016,节能风电,2015-07-08,17.36,1.8317,9.478,0.036,120.556
601018,宁波港,2015-07-08,5.97,2.46,2.427,0.06,24.875
601021,春秋航空,2015-06-25,126.11,13.9056,9.069,0.69,45.692
601028,玉龙股份,2015-07-07,7.67,7.3031,1.05,0.12,15.979
601038,一拖股份,2015-07-08,7.83,4.6968,1.667,0.0911,21.487
601058,赛轮金宇,2015-07-06,7.33,8.1278,0.902,0.06,30.542
601069,西部黄金,2015-07-08,11.28,2.4612,4.583,0.0197,143.147
