股票代码,股票名称,最新日期,最新价格,最新净资产价格,最新价格与净资产比值,最新季度每股收益,市盈率
603066,音飞储存,2015-07-08,21.68,5.3,4.091,0.819,6.618
603077,和邦股份,2015-07-02,16.85,4.7397,3.555,0.04,105.313
603085,天成自控,2015-07-08,18.55,2.92,6.353,0.43,10.785
603088,宁波精达,2015-07-08,28.12,5.7325,4.905,0.1,70.3
603099,长白山,2015-07-08,11.44,2.9282,3.907,-0.03,-95.333
603100,川仪股份,2015-07-08,13.04,4.4023,2.962,0.06,54.333
603108,润达医疗,2015-07-07,52.59,6.87,7.655,0.18,73.042
603111,康尼机电,2015-05-15,38.73,3.6308,10.667,0.1229,78.784
603116,红蜻蜓,2015-07-07,30.56,4.9805,6.136,0.21,36.381
603117,万林股份,2015-07-08,13.62,2.8385,4.798,0.05,68.1
603118,共进股份,2015-06-29,45.39,7.3473,6.178,0.25,45.39
603123,翠微股份,2015-07-08,7.83,5.4065,1.448,0.094,20.824
603126,中材节能,2015-07-07,9.78,3.2407,3.018,0.0483,50.621
603128,华贸物流,2015-07-08,6.31,3.5113,1.797,0.06,26.292
603158,腾龙股份,2015-07-07,45.92,6.6521,6.903,0.32,35.875
603166,福达股份,2015-07-08,36.01,2.3733,15.173,0.016,562.656
603167,渤海轮渡,2015-07-08,9.01,5.7691,1.562,0.12,18.771
603168,莎普爱思,2015-07-08,46.17,12.3177,3.748,0.64,18.035
603169,兰石重装,2015-07-08,12.58,2.2357,5.627,-0.022,-142.955
603188,亚邦股份,2015-07-08,25.14,10.1502,2.477,0.7308,8.6
603198,迎驾贡酒,2015-07-08,22.14,0.0,无法计算,0.0,无法计算
603199,九华旅游,2015-07-08,43.8,7.7066,5.683,0.1753,62.464
603222,济民制药,2015-07-08,17.89,4.402,4.064,0.08,55.906
603223,恒通股份,2015-07-08,17.35,3.6528,4.75,0.54,8.032
603227,雪峰科技,2015-07-08,14.6,3.0168,4.84,-0.027,-135.185
603268,松发股份,2015-07-08,23.26,5.9038,3.94,0.0,无法计算
603288,海天味业,2015-07-08,29.67,4.6287,6.41,0.0,无法计算
603300,华铁科技,2015-07-08,16.81,4.241,3.964,0.14,30.018
603306,华懋科技,2015-07-08,28.37,6.8759,4.126,0.2865,24.756
603308,应流股份,2015-07-07,19.9,4.589,4.336,0.04,124.375
603309,维力医疗,2015-07-08,40.51,7.3043,5.546,0.163,62.132
603311,金海环境,2015-07-08,17.94,1.89,9.492,0.09,49.833
603315,福鞍股份,2015-07-08,32.76,4.7123,6.952,0.133,61.579
603318,派思股份,2015-07-07,59.95,3.133,19.135,-0.05,-299.75
603328,依顿电子,2015-07-08,21.93,8.3069,2.64,0.19,28.855
603333,明星电缆,2015-07-07,6.32,2.8342,2.23,-0.007,-225.714
603338,浙江鼎力,2015-07-07,132.9,12.6064,10.542,0.48,69.219
603355,莱克电气,2015-07-08,32.88,4.45,7.389,0.25,32.88
603366,日出东方,2015-07-08,9.29,8.8886,1.045,0.08,29.031
603368,柳州医药,2015-07-07,54.98,10.6394,5.168,0.37,37.149
603369,今世缘,2015-07-07,35.96,7.615,4.722,0.5522,16.28
603399,新华龙,2015-07-08,9.83,3.0818,3.19,-0.05,-49.15
603456,九洲药业,2015-07-01,47.01,7.8033,6.024,0.2,58.762
603518,维格娜丝,2015-05-07,33.86,8.9701,3.775,0.28,30.232
603519,立霸股份,2015-07-08,45.17,7.7207,5.851,0.25,45.17
603555,贵人鸟,2015-07-03,32.12,3.766,8.529,0.1247,64.395
603558,健盛集团,2015-07-07,33.29,9.1125,3.653,0.3,27.742
603566,普莱柯,2015-07-08,33.11,0.0,无法计算,0.39,21.224
603567,珍宝岛,2015-07-08,36.61,5.55,6.596,0.08,114.406
603568,伟明环保,2015-07-08,27.18,2.4695,11.006,0.17,39.971
603588,高能环境,2015-07-08,42.31,10.5404,4.014,-0.13,-81.365
603589,口子窖,2015-07-08,24.64,4.2201,5.839,0.78,7.897
603598,引力传媒,2015-07-07,33.35,0.0,无法计算,0.0,无法计算
603599,广信股份,2015-07-08,31.75,0.0,无法计算,0.0,无法计算
603600,永艺股份,2015-07-08,96.68,5.0496,19.146,0.24,100.708
603601,再升科技,2015-07-08,16.43,4.4764,3.67,0.0495,82.98
603606,东方电缆,2015-07-08,14.75,5.5097,2.677,0.05,73.75
603609,禾丰牧业,2015-07-07,17.92,4.3698,4.101,0.09,49.778
603611,诺力股份,2015-07-07,22.64,10.24,2.211,0.27,20.963
603616,韩建河山,2015-07-08,18.29,4.2584,4.295,0.096,47.63
603618,杭电股份,2015-07-08,18.46,6.7479,2.736,0.13,35.5
603636,南威软件,2015-07-08,34.63,8.0079,4.324,-0.03,-288.583
603669,灵康药业,2015-07-08,24.26,0.0,无法计算,0.0,无法计算
603678,火炬电子,2015-07-06,89.69,6.1942,14.48,0.15,149.483
603686,龙马环卫,2015-07-07,80.77,7.2928,11.075,0.32,63.102
603688,石英股份,2015-07-07,16.6,5.3399,3.109,0.0841,49.346
603698,航天工程,2015-07-08,24.66,4.8869,5.046,0.05,123.3
603699,纽威股份,2015-07-08,18.55,3.3634,5.515,0.17,27.279
603703,盛洋科技,2015-07-08,30.03,3.93,7.641,0.8,9.384
603718,海利生物,2015-07-07,25.22,2.09,12.067,0.14,45.036
603729,龙韵股份,2015-07-08,57.4,14.1051,4.069,-0.05,-287.0
603766,隆鑫通用,2015-07-02,25.52,5.1749,4.931,0.1977,32.271
603788,宁波高发,2015-07-08,22.58,4.9269,4.583,0.21,26.881
603789,星光农机,2015-07-08,26.58,3.55,7.487,0.8407,7.904
603799,华友钴业,2015-07-07,15.71,4.9262,3.189,0.032,122.734
603806,福斯特,2015-07-07,47.4,9.7275,4.873,0.27,43.889
603808,歌力思,2015-07-08,30.1,5.7656,5.221,0.2813,26.751
603818,曲美股份,2015-07-08,20.26,3.32,6.102,0.03,168.833
603828,柯利达,2015-07-08,29.41,8.1391,3.613,0.24,30.635
603838,四通股份,2015-07-08,17.24,3.61,4.776,0.5,8.62
603869,北部湾旅,2015-07-08,14.52,3.315,4.38,0.01,363.0
603883,老百姓,2015-07-08,45.4,5.17,8.781,0.33,34.394
603885,吉祥航空,2015-06-26,69.01,0.0,无法计算,0.0,无法计算
603889,新澳股份,2015-07-08,25.93,9.3216,2.782,0.25,25.93
603898,好莱客,2015-06-12,137.49,8.3175,16.53,0.06,572.875
603899,晨光文具,2015-07-08,31.65,4.5369,6.976,0.2379,33.26
603901,永创智能,2015-07-08,36.23,5.34,6.785,0.19,47.671
603918,金桥信息,2015-07-08,36.42,0.0,无法计算,0.0,无法计算
603939,益丰药房,2015-06-05,99.88,8.4805,11.778,0.308,81.071
603968,醋化股份,2015-07-08,39.98,7.2848,5.488,0.0,无法计算
603969,银龙股份,2015-07-08,12.26,7.1645,1.711,0.13,23.577
603979,金诚信,2015-07-08,24.3,6.43,3.779,1.01,6.015
603988,中电电机,2015-07-08,49.01,7.7927,6.289,0.1804,67.919
603989,艾华集团,2015-07-07,38.0,5.07,7.495,0.32,29.688
603993,洛阳钼业,2015-07-08,10.21,14.6112,0.699,0.06,42.542
603997,继峰股份,2015-07-08,16.33,3.0296,5.39,0.15,27.217
603998,方盛制药,2015-07-08,34.61,7.5997,4.554,0.19,45.539
